                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.6502,                0.76664,                0.91056,                0.86654,                0.89024,                0.94624,                0.49089,                 1.7368,                0.81238,                0.89128,               0.000505,               0.000505,               0.000505
                     52,                 1.5996,                 0.7639,                0.91104,                0.86654,                0.89024,                0.94624,                0.49089,                 1.7368,                0.81238,                0.89128,               0.000505,               0.000505,               0.000505
                     53,                 1.5736,                 0.7737,                0.90715,                0.86654,                0.89024,                0.94624,                0.49089,                 1.7368,                0.81238,                0.89128,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.8017,                0.83165,                 0.9458,                0.88363,                0.89024,                0.95063,                0.50138,                 1.6948,                0.81186,                0.88646,             0.00050382,             0.00050382,             0.00050382
                     55,                 2.0235,                0.85543,                0.93025,                0.88363,                0.89024,                0.95063,                0.50138,                 1.6948,                0.81186,                0.88646,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.7119,                0.83809,                0.97331,                0.88363,                0.89024,                0.95063,                0.50138,                 1.6948,                0.81186,                0.88646,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.6302,                0.78942,                0.90725,                0.89112,                0.89833,                0.95377,                 0.5177,                 1.6614,                0.81493,                0.88204,             0.00049907,             0.00049907,             0.00049907
                     58,                  1.545,                0.76446,                0.92603,                0.89112,                0.89833,                0.95377,                 0.5177,                 1.6614,                0.81493,                0.88204,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.5991,                0.77325,                  0.933,                0.89112,                0.89833,                0.95377,                 0.5177,                 1.6614,                0.81493,                0.88204,             0.00049393,             0.00049393,             0.00049393
                     60,                 2.0435,                0.84228,                 0.9228,                0.89174,                 0.9041,                0.95306,                0.50956,                 1.6648,                0.81753,                0.88228,             0.00049076,             0.00049076,             0.00049076
                     61,                 2.3161,                0.90026,                0.95441,                0.89174,                 0.9041,                0.95306,                0.50956,                 1.6648,                0.81753,                0.88228,              0.0004872,              0.0004872,              0.0004872
                     62,                  1.727,                 0.8415,                0.95456,                0.89174,                 0.9041,                0.95306,                0.50956,                 1.6648,                0.81753,                0.88228,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.7448,                0.74799,                0.89822,                0.88698,                0.90244,                0.95273,                0.49686,                 1.6994,                0.81482,                0.88755,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.7619,                0.79135,                0.92803,                0.88698,                0.90244,                0.95273,                0.49686,                 1.6994,                0.81482,                0.88755,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.7815,                0.80058,                0.91407,                0.88698,                0.90244,                0.95273,                0.49686,                 1.6994,                0.81482,                0.88755,             0.00046899,             0.00046899,             0.00046899
                     66,                 1.5892,                0.75818,                0.92215,                0.89164,                0.90318,                0.94638,                0.49031,                 1.7148,                0.80732,                0.88886,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.8184,                 0.8711,                0.91195,                0.89164,                0.90318,                0.94638,                0.49031,                 1.7148,                0.80732,                0.88886,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.7301,                0.83904,                 0.9185,                0.89164,                0.90318,                0.94638,                0.49031,                 1.7148,                0.80732,                0.88886,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.6376,                0.78277,                0.92354,                0.89107,                0.92683,                0.95485,                0.49923,                 1.6801,                0.80976,                 0.8847,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.8429,                0.78981,                0.90677,                0.89107,                0.92683,                0.95485,                0.49923,                 1.6801,                0.80976,                 0.8847,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.6841,                0.75206,                0.91591,                0.89107,                0.92683,                0.95485,                0.49923,                 1.6801,                0.80976,                 0.8847,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.8334,                 0.8612,                0.93883,                0.89212,                0.92683,                0.94588,                0.50199,                 1.6795,                0.80706,                0.88379,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.6553,                0.78468,                0.93431,                0.89212,                0.92683,                0.94588,                0.50199,                 1.6795,                0.80706,                0.88379,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.5424,                0.74445,                0.91121,                0.89212,                0.92683,                0.94588,                0.50199,                 1.6795,                0.80706,                0.88379,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.6377,                0.75394,                 0.9151,                0.89474,                0.93299,                0.95071,                0.48817,                 1.7023,                0.80892,                0.88875,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.7435,                0.88021,                0.94332,                0.89474,                0.93299,                0.95071,                0.48817,                 1.7023,                0.80892,                0.88875,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.6425,                0.77707,                0.93485,                0.89474,                0.93299,                0.95071,                0.48817,                 1.7023,                0.80892,                0.88875,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.6707,                0.78201,                0.93123,                0.89282,                0.91425,                0.95076,                0.49366,                 1.7017,                0.80416,                0.88765,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.6298,                0.76922,                0.91472,                0.89282,                0.91425,                0.95076,                0.49366,                 1.7017,                0.80416,                0.88765,             0.00035537,             0.00035537,             0.00035537
