                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4126,                0.95251,                0.90424,                 0.7429,                   0.75,                0.78933,                0.42453,                 1.5991,                 1.1327,                0.94979,               0.000713,               0.000713,               0.000713
                     67,                 1.3841,                0.91663,                0.90129,                0.82984,                0.70884,                0.79404,                0.43351,                  1.556,                 1.1148,                 0.9454,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3747,                0.92745,                0.90297,                0.77682,                0.73837,                0.79479,                0.42713,                  1.604,                 1.1285,                0.96201,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3492,                0.94934,                0.88633,                0.76519,                0.73256,                0.80125,                0.44081,                 1.6244,                 1.1227,                0.96464,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3531,                0.92467,                0.87595,                 0.7473,                 0.7565,                0.79253,                0.43611,                 1.5831,                 1.1792,                0.94655,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3339,                0.88807,                0.90001,                0.73615,                0.76241,                0.78753,                0.42957,                 1.5785,                 1.0936,                0.95462,               0.000614,               0.000614,               0.000614
                     72,                 1.3264,                0.91079,                0.88796,                0.76594,                  0.742,                0.79296,                0.44613,                 1.5617,                 1.1357,                0.95057,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2802,                0.86568,                0.87372,                0.75054,                0.75218,                0.80255,                0.44285,                 1.5891,                 1.1658,                0.95366,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3309,                0.86694,                 0.8909,                 0.8062,                0.72674,                0.80102,                0.45135,                 1.5687,                 1.0973,                0.94218,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3092,                 0.8554,                0.89358,                0.82084,                 0.6686,                0.79927,                0.43881,                 1.5678,                 1.1124,                0.94758,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3167,                0.84486,                0.89245,                0.78426,                0.78199,                0.80916,                 0.4522,                 1.5321,                  1.076,                0.93966,               0.000515,               0.000515,               0.000515
                     77,                 1.3174,                0.90527,                0.88161,                0.81926,                0.69767,                0.80795,                0.43959,                 1.5588,                 1.1153,                0.94621,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3158,                0.86555,                0.88856,                0.81252,                0.75581,                0.80367,                 0.4649,                 1.5239,                 1.1206,                 0.9435,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2813,                0.85679,                0.87323,                0.77685,                0.78488,                0.80336,                0.45559,                 1.5317,                 1.0866,                0.94156,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2913,                 0.8329,                0.88128,                0.78307,                0.73454,                0.80396,                0.43872,                 1.5829,                  1.081,                 0.9606,              0.0004358,              0.0004358,              0.0004358
